article,finalscore,percentile,googlescore,itfscore,count
chain,0.149480415667,0.407407407407,0,0.611510791367,1
celebrity-inspired summer,0.149480415667,0.407407407407,0,0.611510791367,1
fashionista,0.167087018143,0.407407407407,0.0440165061898,0.611510791367,1
pure style,0.149480415667,0.407407407407,0,0.611510791367,1
heart-wrenching classic,0.652278177458,0.888888888889,0,1.22302158273,2
faux fur bomber,1.09344898222,0.981481481481,0.032783127006,1.8345323741,3
Rose Ivory,0.162135161197,0.407407407407,0.0316368638239,0.611510791367,1
minimum,0.149480415667,0.407407407407,0,0.611510791367,1
bandana print silk style scarf,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
Rose Honey,0.163694079125,0.407407407407,0.0355341586428,0.611510791367,1
perfect canvas,0.149480415667,0.407407407407,0,0.611510791367,1
bell-bottoms,0.149480415667,0.407407407407,0,0.611510791367,1
fashion accessory,0.149480415667,0.407407407407,0,0.611510791367,1
tie-dye jacquard culottes,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
everyday,0.149480415667,0.407407407407,0,0.611510791367,1
tribal jacquard scarf,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
style,0.149480415667,0.407407407407,0,0.611510791367,1
striped blouse,0.116044708048,0.435294117647,0.0364511691884,0.388489208633,1
off-shoulder blouses,0.652278177458,0.888888888889,0,1.22302158273,2
no-make up,0.149480415667,0.407407407407,0,0.611510791367,1
collarbone steal,0.149480415667,0.407407407407,0,0.611510791367,1
thinking ahead,0.149480415667,0.407407407407,0,0.611510791367,1
cabana,0.166720213925,0.407407407407,0.0430994956442,0.611510791367,1
blouse with open back,0.113201975356,0.435294117647,0.0293443374599,0.388489208633,1
blouse with lace trim,0.112560067974,0.435294117647,0.027739569005,0.388489208633,1
bohemian sartorial sensibility,0.657230034404,0.888888888889,0.0123796423659,1.22302158273,2
tie-dye hand embroidered poncho,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
leather platform slides,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
gold accents,0.149480415667,0.407407407407,0,0.611510791367,1
Bollywood,0.149480415667,0.407407407407,0,0.611510791367,1
skin types,0.652278177458,0.888888888889,0,1.22302158273,2
round,0.149480415667,0.407407407407,0,0.611510791367,1
early 19th century,0.149480415667,0.407407407407,0,0.611510791367,1
cool evening winds,0.154432272614,0.407407407407,0.0123796423659,0.611510791367,1
erstwhile flower childs,0.149480415667,0.407407407407,0,0.611510791367,1
popularity charts,0.149480415667,0.407407407407,0,0.611510791367,1
make-up free look,0.149480415667,0.407407407407,0,0.611510791367,1
acute aversion,0.154432272614,0.407407407407,0.0123796423659,0.611510791367,1
culottes,0.119345946012,0.435294117647,0.044704264099,0.388489208633,1
gallery,0.149480415667,0.407407407407,0,0.611510791367,1
blends,0.16580320338,0.407407407407,0.0408069692801,0.611510791367,1
high level,0.149480415667,0.407407407407,0,0.611510791367,1
leather,0.149480415667,0.407407407407,0,0.611510791367,1
light,0.149480415667,0.407407407407,0,0.611510791367,1
larger-than-life persona,0.149480415667,0.407407407407,0,0.611510791367,1
Amazon India Fashion Week,0.163877481234,0.407407407407,0.0359926639156,0.611510791367,1
midway,0.149480415667,0.407407407407,0,0.611510791367,1
everyday heavy duty makeup,0.657230034404,0.888888888889,0.0123796423659,1.22302158273,2
place,0.149480415667,0.407407407407,0,0.611510791367,1
tones,0.149480415667,0.407407407407,0,0.611510791367,1
animal prints,0.652278177458,0.888888888889,0,1.22302158273,2
long lasting,0.149480415667,0.407407407407,0,0.611510791367,1
womens,0.149480415667,0.407407407407,0,0.611510791367,1
makes,0.149480415667,0.407407407407,0,0.611510791367,1
great coverage,0.149480415667,0.407407407407,0,0.611510791367,1
brief comebacks,0.652278177458,0.888888888889,0,1.22302158273,2
striped indigo shirt,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
poplin shirt with contrasting collar,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
plain twill shirt,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
horizontal stripe shirt,0.114577491175,0.435294117647,0.032783127006,0.388489208633,1
oversized studio shirt,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
asymmetric hem shirt,0.112101562702,0.435294117647,0.026593305823,0.388489208633,1
denim shirt dress,0.118245533357,0.435294117647,0.0419532324622,0.388489208633,1
bull denim shirt,0.432747032571,0.917647058824,0.0123796423659,0.776978417266,2
faded indigo striped shirt,0.106416097319,0.435294117647,0.0123796423659,0.388489208633,1
stretch shirt with mandarin collar,0.432747032571,0.917647058824,0.0123796423659,0.776978417266,2
poplin shirt,0.443476055954,0.917647058824,0.0392022008253,0.776978417266,2
striped shirt,0.117787028084,0.435294117647,0.0408069692801,0.388489208633,1
short sleeve nautical print polo shirt,0.432747032571,0.917647058824,0.0123796423659,0.776978417266,2
